"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016628","oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor","6/588","24/22710",2.65549675128595e-05,0.00186608998976731,0.00162633293858661,"14104/73166/13360/225791/233016/26378",6
"GO:0052689","carboxylic ester hydrolase activity","14/588","156/22710",5.7039105621756e-05,0.00367426905380145,0.00320219540332665,"102022/54608/27226/26897/382053/53357/66082/104158/16891/72590/85031/171210/12623/234671",14
"GO:0016829","lyase activity","15/588","184/22710",9.43473768959392e-05,0.00561004018004315,0.00488925677841304,"225913/14104/230163/74147/70266/52665/71760/231086/30963/23831/57874/17436/76355/266645/97212",15
"GO:0016408","C-acyltransferase activity","5/588","21/22710",0.000165011747413019,0.00810065225579911,0.00705987259986577,"235674/231086/272428/26912/97212",5
"GO:0019789","SUMO transferase activity","5/588","21/22710",0.000165011747413019,0.00810065225579911,0.00705987259986577,"17246/208727/20610/68501/19386",5
"GO:0016879","ligase activity, forming carbon-nitrogen bonds","7/588","46/22710",0.000167671974246812,0.00810065225579911,0.00705987259986577,"107476/27053/69737/110948/51797/14629/11566",7
"GO:0051287","NAD binding","8/588","62/22710",0.000190240043402022,0.00851159500708858,0.00741801702803389,"231086/22235/17436/109754/15108/53415/26876/97212",8
"GO:0005319","lipid transporter activity","12/588","135/22710",0.000208223406395655,0.00851159500708858,0.00741801702803389,"207798/217258/76574/11305/170459/20493/99138/66390/11303/27409/101488/71764",12
"GO:0051082","unfolded protein binding","10/588","97/22710",0.000209211261493768,0.00851159500708858,0.00741801702803389,"15519/270166/12462/15510/12461/14976/63958/15516/67738/21454",10
"GO:1901567","fatty acid derivative binding","6/588","35/22710",0.00025145281071877,0.00971865113428045,0.00846998941368487,"13167/11363/231086/64385/13119/97212",6
"GO:0016298","lipase activity","11/588","122/22710",0.000334899738414437,0.0123274998949695,0.0107436507561524,"54608/27226/382053/53357/66082/104158/58994/16891/85031/12623/18795",11
"GO:0016746","transferase activity, transferring acyl groups","17/588","267/22710",0.000637864834033136,0.0212175405721102,0.0184914903876224,"14104/104112/54326/170439/235674/231086/67512/12894/272428/26912/241447/27878/93674/78689/12974/228136/97212",17
"GO:0019842","vitamin binding","11/588","132/22710",0.000655440092608279,0.0212175405721102,0.0184914903876224,"107476/14104/110095/70266/14711/70789/71760/110948/112405/26912/26876",11
"GO:0071813","lipoprotein particle binding","5/588","28/22710",0.000686207651103175,0.0212175405721102,0.0184914903876224,"68453/15510/16835/54135/11303",5
"GO:0071814","protein-lipid complex binding","5/588","28/22710",0.000686207651103175,0.0212175405721102,0.0184914903876224,"68453/15510/16835/54135/11303",5
"GO:1901681","sulfur compound binding","16/588","250/22710",0.000861852965501746,0.0256235516281865,0.0223314128713003,"107476/68312/13167/14711/319476/11363/14186/18553/629203/231086/16409/16891/110948/55985/224224/97212",16
"GO:0051879","Hsp90 protein binding","6/588","46/22710",0.00114089844062452,0.0321556999659017,0.0280243044572439,"13088/22241/20867/268390/66917/67738",6
"GO:0016747","transferase activity, transferring acyl groups other than amino-acyl groups","15/588","233/22710",0.0011647601540042,0.0321556999659017,0.0280243044572439,"14104/54326/170439/235674/231086/67512/12894/272428/26912/241447/27878/93674/78689/228136/97212",15
"GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","6/588","48/22710",0.00143096241977721,0.0374204653387913,0.0326126476704929,"68263/107747/72535/17252/53415/26876",6
"GO:0016874","ligase activity","11/588","146/22710",0.00150013711511862,0.0374204653387913,0.0326126476704929,"107476/27053/264895/17246/69737/110948/51797/272428/14629/97541/11566",11
"GO:0017127","cholesterol transporter activity","4/588","20/22710",0.00154910076434841,0.0374204653387913,0.0326126476704929,"207798/170459/11303/27409",4
"GO:0120020","intermembrane cholesterol transfer activity","4/588","20/22710",0.00154910076434841,0.0374204653387913,0.0326126476704929,"207798/170459/11303/27409",4
"GO:0008035","high-density lipoprotein particle binding","3/588","10/22710",0.00180890626112762,0.0399509868529042,0.0348180453269677,"68453/15510/11303",3
"GO:0016713","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen","3/588","10/22710",0.00180890626112762,0.0399509868529042,0.0348180453269677,"666168/277753/13119",3
"GO:0070513","death domain binding","3/588","10/22710",0.00180890626112762,0.0399509868529042,0.0348180453269677,"12905/17210/71609",3
"GO:0120015","intermembrane sterol transfer activity","4/588","21/22710",0.00187476876833321,0.0402554516089324,0.035083392155943,"207798/170459/11303/27409",4
"GO:0033293","monocarboxylic acid binding","7/588","69/22710",0.00202694356938307,0.0423466859225167,0.0369059426573305,"107476/110095/18103/110948/64385/13119/11430",7
"GO:0004312","fatty acid synthase activity","3/588","11/22710",0.00243962304269904,0.0496270687370094,0.0432509348290134,"14104/54326/170439",3
"GO:0042277","peptide binding","17/588","306/22710",0.00275953978462885,0.0546954936799513,0.0476681636211191,"68312/16323/17167/13809/12751/17380/18708/15510/75751/16835/15007/15108/15925/15516/67738/71764/14289",17
"GO:0008509","anion transmembrane transporter activity","17/588","310/22710",0.00315070311627199,0.0608873377219562,0.0530644735372124,"319848/14385/20522/20526/241296/76574/14664/20503/11732/20493/72472/11988/20525/11303/69309/101488/20498",17
"GO:0008395","steroid hydroxylase activity","7/588","76/22710",0.00351890143783333,0.0663441661328089,0.0578202033430894,"71519/244209/13088/13077/56050/13123/337924",7
"GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors","6/588","58/22710",0.00379844059634646,0.0699093947851384,0.060927367961447,"68263/107747/72535/17252/53415/26876",6
"GO:0000062","fatty-acyl-CoA binding","4/588","26/22710",0.00422802676842167,0.0760061556276733,0.0662408110597275,"13167/11363/231086/97212",4
"GO:0004806","triglyceride lipase activity","4/588","27/22710",0.00486319239475466,0.0854374482078489,0.0744603620249518,"382053/104158/16891/12623",4
"GO:0004771","sterol esterase activity","3/588","14/22710",0.0050794889996785,0.0867322231579746,0.0755887830341169,"382053/104158/12623",3
"GO:0005342","organic acid transmembrane transporter activity","10/588","148/22710",0.00527349869136456,0.0867322231579746,0.0755887830341169,"319848/20522/76574/14664/20503/20493/72472/11988/69309/101488",10
"GO:0046943","carboxylic acid transmembrane transporter activity","10/588","148/22710",0.00527349869136456,0.0867322231579746,0.0755887830341169,"319848/20522/76574/14664/20503/20493/72472/11988/69309/101488",10
"GO:0022804","active transmembrane transporter activity","18/588","355/22710",0.00547163560869186,0.0881161317816418,0.0767948857360261,"319848/76408/26357/14385/217258/20522/76574/11305/14664/20503/11732/20493/72472/11303/69309/27409/101488/20498",18
"GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","5/588","45/22710",0.00594903927824532,0.0938491298384415,0.0817913026439744,"666168/277753/13118/432720/14263",5
"GO:0016811","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides","7/588","84/22710",0.00611345309454726,0.0945139848417007,0.0823707364317947,"18048/71562/76773/66190/208727/52633/22361",7
"GO:0120013","intermembrane lipid transfer activity","4/588","29/22710",0.00631898507826685,0.0957759895196132,0.0834705975250935,"207798/170459/11303/27409",4
"GO:0050661","NADP binding","5/588","46/22710",0.00653539791697958,0.0971512036504849,0.0846691228110715,"14104/110208/18984/17436/14263",5
